,max_bid,min_ask
1089,261,262
1090,259,263
1091,259,263
1092,259,263
1093,259,263
1094,259,263
1095,259,263
1096,259,263
1097,259,263
1098,259,263
1099,259,269
1100,259,269
1101,259,269
1102,259,269
1103,259,269
1104,259,269
1105,259,269
1106,259,269
1107,259,269
1108,259,269
1109,259,269
1110,259,269
1111,259,269
1112,259,269
1113,259,269
1114,259,269
1115,259,269
1116,259,269
1117,259,269
1118,259,269
1119,259,269
1120,259,269
1121,259,269
1122,259,269
1123,254,269
1124,254,269
1125,254,269
1126,254,263
1127,254,263
1128,254,263
1129,254,263
1130,254,263
1131,254,263
1132,254,262
1133,254,262
1134,254,262
1135,254,262
1136,254,262
1137,254,262
1138,255,262
1139,255,262
1140,255,261
1141,255,261
1142,255,261
1143,255,261
1144,255,261
1145,255,261
1146,255,261
1147,255,261
1148,255,260
1149,255,260
1150,255,259
1151,255,259
1152,255,259
1153,255,259
1154,255,258
1155,255,258
1156,255,258
1157,255,257
1158,255,257
1159,255,257
1160,255,257
1161,255,257
1162,255,257
1163,255,257
1164,255,257
1165,255,257
1166,255,257
1167,255,257
1168,255,256
1169,255,256
1170,255,256
1171,255,256
1172,255,256
1173,255,256
1174,255,256
1175,255,256
1176,255,256
1177,252,257
1178,252,257
1179,252,257
1180,252,257
1181,252,257
1182,254,257
1183,254,257
1184,254,257
1185,254,257
1186,254,257
1187,254,256
1188,254,256
1189,254,256
1190,254,256
1191,254,256
1192,254,256
1193,254,256
1194,254,256
1195,254,256
1196,254,256
1197,254,257
1198,254,257
1199,254,257
1200,254,257
1201,254,257
1202,254,257
1203,254,257
1204,254,257
1205,254,257
1206,254,257
1207,254,257
1208,254,257
1209,254,257
1210,254,257
1211,255,257
1212,255,257
1213,255,257
1214,255,257
1215,255,257
1216,255,257
1217,255,257
1218,254,257
1219,254,257
1220,254,257
1221,254,257
1222,254,257
1223,254,257
1224,254,257
1225,254,257
1226,254,257
1227,254,257
1228,254,257
1229,254,257
1230,255,257
1231,255,257
1232,255,257
1233,255,257
1234,255,257
1235,255,257
1236,255,257
1237,255,257
1238,255,257
1239,255,257
1240,255,257
1241,255,257
1242,255,257
1243,255,257
1244,255,257
1245,255,257
1246,255,257
1247,255,257
1248,255,257
1249,255,257
1250,255,257
1251,255,257
1252,256,257
1253,256,257
1254,256,257
1255,256,257
1256,256,257
1257,256,257
1258,256,257
1259,256,257
1260,256,257
1261,256,258
1262,256,258
1263,256,258
1264,256,258
1265,257,258
1266,257,258
1267,257,265
1268,257,265
1269,257,265
1270,257,265
1271,257,265
1272,257,265
1273,257,265
1274,257,265
1275,257,265
1276,258,265
1277,259,265
1278,259,265
1279,259,265
1280,259,264
1281,259,264
1282,259,264
1283,259,264
1284,259,264
1285,259,264
1286,258,264
1287,259,264
1288,259,264
1289,260,264
1290,261,264
1291,262,264
1292,262,264
1293,262,264
1294,262,264
1295,262,264
1296,262,263
1297,262,263
1298,262,263
1299,262,263
1300,262,263
1301,261,265
1302,261,265
1303,262,265
1304,262,265
1305,262,265
1306,263,265
1307,263,265
1308,263,265
1309,263,265
1310,263,265
1311,263,265
1312,263,265
1313,263,265
1314,263,265
1315,263,265
1316,263,265
1317,263,265
1318,264,265
1319,264,265
1320,264,265
1321,264,265
1322,264,265
1323,264,265
1324,264,265
1325,254,271
1326,254,271
1327,259,271
1328,259,271
1329,259,271
1330,259,271
1331,259,271
1332,259,271
1333,259,271
1334,259,271
1335,259,271
1336,259,271
1337,259,271
1338,259,271
1339,259,271
1340,259,268
1341,259,268
1342,259,268
1343,259,268
1344,259,268
1345,259,268
1346,259,268
1347,259,268
1348,259,268
1349,259,268
1350,259,268
1351,259,268
1352,259,268
1353,261,268
1354,261,268
1355,261,268
1356,261,268
1357,261,268
1358,261,268
1359,261,268
1360,261,268
1361,261,268
1362,261,268
1363,261,268
1364,261,268
1365,261,268
1366,261,268
1367,261,268
1368,261,268
1369,261,265
1370,261,265
1371,261,265
1372,261,265
1373,261,265
1374,261,265
1375,261,265
1376,261,267
1377,261,267
1378,262,267
1379,262,267
1380,262,267
1381,262,267
